ad_id,source_url,title,price_nok,price_predicted,price_residual_pct,deal_label,condition_score,groupset_tier,brand_tier,carbon_frame,carbon_wheels,electronic_shifting,bike_age,framesize_cm,tilstand,brand,groupset
450736924,https://www.finn.no/recommerce/forsale/item/450736924,CANYON Aeroad CF SLX 8.0 DI2,52000.0,39530.312,31.54462161157972,bad_deal,4.0,4,3,1,1,1,5.0,56.0,Som ny - Ikke synlig brukt,Canyon,Shimano Ultegra Di2
413731731,https://www.finn.no/recommerce/forsale/item/413731731,BMC TEAM MACHINE SLR FOUR - SYKKELPAKKE MED WAHOO KICKR CORE OG KOFFERT,45000.0,28980.725,55.27562062904015,bad_deal,3.0,3,4,1,0,1,5.0,58.0,Pent brukt - I god stand,BMC,SRAM Rival AXS
453463150,https://www.finn.no/recommerce/forsale/item/453463150,Trek Madone Two Series landeveissykkel 52 cm unisex rød,7000.0,12676.683,-44.7805059778877,good_deal,3.0,2,3,0,0,0,5.0,52.0,Pent brukt - I god stand,Trek,Shimano
453447889,https://www.finn.no/recommerce/forsale/item/453447889,Ridley karbon landeveissykkel,7000.0,12359.513,-43.3634628438479,good_deal,4.0,0,3,1,0,0,5.0,54.0,Som ny - Ikke synlig brukt,Ridley,
426259765,https://www.finn.no/recommerce/forsale/item/426259765,Nor Kapp Superlight – Ultegra Di2,14000.0,26679.05,-47.524369908095906,good_deal,2.0,4,2,0,0,1,5.0,54.0,Godt brukt - Synlig brukt,Nor,Shimano Ultegra Di2
453439240,https://www.finn.no/recommerce/forsale/item/453439240,"Cinelli landeveissykkel 57 cm 27,5"" rød",6700.0,9889.136,-32.24888226159646,good_deal,3.0,0,3,0,0,0,5.0,57.0,Pent brukt - I god stand,Cinelli,
453431578,https://www.finn.no/recommerce/forsale/item/453431578,"Giant OCR3 landeveissykkel L 28""/700c unisex gul",6000.0,11505.649,-47.85170498358271,good_deal,3.0,3,3,0,0,0,5.0,56.0,Pent brukt - I god stand,Giant,Campagnolo Centaur
438286422,https://www.finn.no/recommerce/forsale/item/438286422,Merida Ride Disc CF 7000 Karbon Ram Shimano Ultegra komponenter 59cm (L/XL),14999.0,20307.05,-26.138954584931916,good_deal,4.0,4,2,1,0,0,9.0,59.0,Som ny - Ikke synlig brukt,Merida,Shimano Ultegra
453431234,https://www.finn.no/recommerce/forsale/item/453431234,"Helt ny Cube Norge sykkel – 0 km, keramisk beskyttelse",53000.0,49091.39,7.961903961648062,ok_deal,5.0,4,3,1,1,1,1.0,54.0,Helt ny - Uåpnet/med lapp,Cube,Shimano Ultegra Di2
453415559,https://www.finn.no/recommerce/forsale/item/453415559,"Pinarello Prince (som Ny) Di2 el-gir, full-carbon",29000.0,42175.164,-31.23915307827974,good_deal,4.0,4,4,1,1,1,5.0,54.0,Som ny - Ikke synlig brukt,Pinarello,Shimano Ultegra Di2
